,overs,runs,wickets,total,difference
82,0.1,1.0,0.0,222.0,221.0
84,0.2,1.0,0.0,222.0,221.0
83,0.3,2.0,0.0,222.0,220.0
86,0.4,2.0,0.0,222.0,220.0
85,0.5,2.0,0.0,222.0,220.0
88,0.6,2.0,0.0,222.0,220.0
87,0.7,3.0,0.0,222.0,219.0
79,1.1,3.0,0.0,222.0,219.0
80,1.2,7.0,0.0,222.0,215.0
81,1.3,11.0,0.0,222.0,211.0
76,1.4,17.0,0.0,222.0,205.0
77,1.5,21.0,0.0,222.0,201.0
78,1.6,21.0,0.0,222.0,201.0
8,10.1,88.0,1.0,222.0,134.0
10,10.2,92.0,1.0,222.0,130.0
9,10.3,92.0,1.0,222.0,130.0
12,10.4,98.0,1.0,222.0,124.0
11,10.5,98.0,1.0,222.0,124.0
13,10.6,102.0,1.0,222.0,120.0
106,11.1,102.0,1.0,222.0,120.0
107,11.2,108.0,1.0,222.0,114.0
108,11.3,110.0,1.0,222.0,112.0
103,11.4,111.0,1.0,222.0,111.0
104,11.5,111.0,1.0,222.0,111.0
105,11.6,112.0,1.0,222.0,110.0
2,12.1,112.0,2.0,222.0,110.0
1,12.2,116.0,2.0,222.0,106.0
22,12.3,116.0,2.0,222.0,106.0
7,12.4,118.0,2.0,222.0,104.0
48,12.5,119.0,2.0,222.0,103.0
5,12.6,123.0,2.0,222.0,99.0
4,12.7,124.0,2.0,222.0,98.0
94,13.1,125.0,2.0,222.0,97.0
92,13.2,125.0,2.0,222.0,97.0
93,13.3,126.0,2.0,222.0,96.0
90,13.4,127.0,2.0,222.0,95.0
91,13.5,128.0,2.0,222.0,94.0
89,13.6,130.0,2.0,222.0,92.0
25,14.1,134.0,2.0,222.0,88.0
28,14.2,135.0,2.0,222.0,87.0
26,14.3,141.0,2.0,222.0,81.0
20,14.4,145.0,2.0,222.0,77.0
21,14.5,147.0,2.0,222.0,75.0
24,14.6,148.0,2.0,222.0,74.0
23,14.7,154.0,2.0,222.0,68.0
118,15.1,154.0,2.0,222.0,68.0
119,15.2,155.0,2.0,222.0,67.0
120,15.3,157.0,2.0,222.0,65.0
121,15.4,157.0,2.0,222.0,65.0
67,15.5,158.0,2.0,222.0,64.0
123,15.6,158.0,2.0,222.0,64.0
19,16.1,159.0,2.0,222.0,63.0
18,16.2,161.0,2.0,222.0,61.0
17,16.3,162.0,2.0,222.0,60.0
16,16.4,168.0,2.0,222.0,54.0
15,16.5,170.0,2.0,222.0,52.0
14,16.6,172.0,2.0,222.0,50.0
111,17.1,172.0,3.0,222.0,50.0
109,17.2,173.0,3.0,222.0,49.0
110,17.3,173.0,3.0,222.0,49.0
113,17.4,174.0,3.0,222.0,48.0
114,17.5,178.0,3.0,222.0,44.0
112,17.6,179.0,3.0,222.0,43.0
69,18.1,185.0,3.0,222.0,37.0
71,18.2,185.0,3.0,222.0,37.0
70,18.3,191.0,3.0,222.0,31.0
73,18.4,195.0,3.0,222.0,27.0
72,18.5,196.0,3.0,222.0,26.0
75,18.6,200.0,3.0,222.0,22.0
53,19.1,206.0,3.0,222.0,16.0
68,19.2,212.0,3.0,222.0,10.0
60,19.3,214.0,3.0,222.0,8.0
49,19.4,214.0,3.0,222.0,8.0
50,19.5,216.0,3.0,222.0,6.0
51,19.6,222.0,3.0,222.0,0.0
44,2.1,21.0,0.0,222.0,201.0
43,2.2,21.0,0.0,222.0,201.0
42,2.3,22.0,0.0,222.0,200.0
47,2.4,26.0,0.0,222.0,196.0
46,2.5,27.0,0.0,222.0,195.0
45,2.6,27.0,0.0,222.0,195.0
41,3.1,32.0,0.0,222.0,190.0
39,3.2,38.0,0.0,222.0,184.0
40,3.3,39.0,0.0,222.0,183.0
37,3.4,43.0,0.0,222.0,179.0
38,3.5,43.0,0.0,222.0,179.0
35,3.6,44.0,0.0,222.0,178.0
36,3.7,50.0,0.0,222.0,172.0
99,4.1,54.0,0.0,222.0,168.0
102,4.2,55.0,0.0,222.0,167.0
101,4.3,59.0,0.0,222.0,163.0
96,4.4,59.0,0.0,222.0,163.0
95,4.5,60.0,0.0,222.0,162.0
98,4.6,60.0,0.0,222.0,162.0
115,5.1,61.0,0.0,222.0,161.0
97,5.2,61.0,1.0,222.0,161.0
116,5.3,61.0,1.0,222.0,161.0
117,5.4,61.0,1.0,222.0,161.0
100,5.5,61.0,1.0,222.0,161.0
122,5.6,61.0,1.0,222.0,161.0
6,6.1,62.0,1.0,222.0,160.0
32,6.2,63.0,1.0,222.0,159.0
31,6.3,64.0,1.0,222.0,158.0
30,6.4,66.0,1.0,222.0,156.0
29,6.5,67.0,1.0,222.0,155.0
52,6.6,68.0,1.0,222.0,154.0
3,7.1,68.0,1.0,222.0,154.0
0,7.2,69.0,1.0,222.0,153.0
27,7.3,70.0,1.0,222.0,152.0
33,7.4,71.0,1.0,222.0,151.0
34,7.5,72.0,1.0,222.0,150.0
74,7.6,73.0,1.0,222.0,149.0
54,8.1,73.0,1.0,222.0,149.0
56,8.2,73.0,1.0,222.0,149.0
55,8.3,73.0,1.0,222.0,149.0
58,8.4,74.0,1.0,222.0,148.0
57,8.5,75.0,1.0,222.0,147.0
59,8.6,77.0,1.0,222.0,145.0
64,9.1,78.0,1.0,222.0,144.0
65,9.2,79.0,1.0,222.0,143.0
66,9.3,80.0,1.0,222.0,142.0
61,9.4,80.0,1.0,222.0,142.0
62,9.5,86.0,1.0,222.0,136.0
63,9.6,87.0,1.0,222.0,135.0
83,0.1,0.0,0.0,240.0,240.0
85,0.2,0.0,0.0,240.0,240.0
84,0.3,1.0,0.0,240.0,239.0
87,0.4,1.0,0.0,240.0,239.0
86,0.5,5.0,0.0,240.0,235.0
88,0.6,5.0,0.0,240.0,235.0
80,1.1,9.0,0.0,240.0,231.0
81,1.2,13.0,0.0,240.0,227.0
82,1.3,17.0,0.0,240.0,223.0
76,1.4,19.0,0.0,240.0,221.0
77,1.5,20.0,0.0,240.0,220.0
78,1.6,20.0,0.0,240.0,220.0
79,1.7,20.0,0.0,240.0,220.0
9,10.1,94.0,3.0,240.0,146.0
11,10.2,95.0,3.0,240.0,145.0
10,10.3,97.0,3.0,240.0,143.0
13,10.4,97.0,3.0,240.0,143.0
12,10.5,103.0,3.0,240.0,137.0
14,10.6,107.0,3.0,240.0,133.0
106,11.1,113.0,3.0,240.0,127.0
107,11.2,117.0,3.0,240.0,123.0
108,11.3,118.0,3.0,240.0,122.0
103,11.4,124.0,3.0,240.0,116.0
104,11.5,125.0,3.0,240.0,115.0
105,11.6,127.0,3.0,240.0,113.0
2,12.1,128.0,3.0,240.0,112.0
27,12.2,128.0,4.0,240.0,112.0
23,12.3,129.0,4.0,240.0,111.0
7,12.4,130.0,4.0,240.0,110.0
48,12.5,130.0,4.0,240.0,110.0
5,12.6,131.0,4.0,240.0,109.0
4,12.7,132.0,4.0,240.0,108.0
8,12.8,133.0,4.0,240.0,107.0
94,13.1,134.0,4.0,240.0,106.0
92,13.2,134.0,4.0,240.0,106.0
93,13.3,135.0,4.0,240.0,105.0
90,13.4,136.0,4.0,240.0,104.0
91,13.5,142.0,4.0,240.0,98.0
89,13.6,143.0,4.0,240.0,97.0
25,14.1,147.0,4.0,240.0,93.0
28,14.2,148.0,4.0,240.0,92.0
26,14.3,150.0,4.0,240.0,90.0
21,14.4,151.0,4.0,240.0,89.0
22,14.5,155.0,4.0,240.0,85.0
24,14.6,161.0,4.0,240.0,79.0
118,15.1,167.0,4.0,240.0,73.0
119,15.2,167.0,4.0,240.0,73.0
120,15.3,167.0,5.0,240.0,73.0
121,15.4,167.0,5.0,240.0,73.0
67,15.5,168.0,5.0,240.0,72.0
123,15.6,169.0,5.0,240.0,71.0
20,16.1,170.0,5.0,240.0,70.0
19,16.2,171.0,5.0,240.0,69.0
18,16.3,177.0,5.0,240.0,63.0
17,16.4,181.0,5.0,240.0,59.0
16,16.5,182.0,5.0,240.0,58.0
15,16.6,183.0,5.0,240.0,57.0
111,17.1,183.0,5.0,240.0,57.0
109,17.2,187.0,5.0,240.0,53.0
110,17.3,188.0,5.0,240.0,52.0
113,17.4,190.0,5.0,240.0,50.0
114,17.5,196.0,5.0,240.0,44.0
112,17.6,200.0,5.0,240.0,40.0
69,18.1,204.0,5.0,240.0,36.0
71,18.2,205.0,5.0,240.0,35.0
70,18.3,206.0,5.0,240.0,34.0
73,18.4,207.0,5.0,240.0,33.0
72,18.5,213.0,5.0,240.0,27.0
75,18.6,215.0,5.0,240.0,25.0
52,19.1,221.0,5.0,240.0,19.0
68,19.2,227.0,5.0,240.0,13.0
59,19.3,231.0,5.0,240.0,9.0
49,19.4,232.0,5.0,240.0,8.0
50,19.5,238.0,5.0,240.0,2.0
51,19.6,240.0,5.0,240.0,0.0
43,2.1,20.0,0.0,240.0,220.0
42,2.2,25.0,0.0,240.0,215.0
41,2.3,25.0,0.0,240.0,215.0
47,2.4,26.0,0.0,240.0,214.0
46,2.5,26.0,1.0,240.0,214.0
45,2.6,27.0,1.0,240.0,213.0
44,2.7,27.0,1.0,240.0,213.0
40,3.1,27.0,1.0,240.0,213.0
38,3.2,27.0,1.0,240.0,213.0
39,3.3,28.0,1.0,240.0,212.0
36,3.4,29.0,1.0,240.0,211.0
37,3.5,29.0,1.0,240.0,211.0
35,3.6,33.0,1.0,240.0,207.0
99,4.1,33.0,1.0,240.0,207.0
102,4.2,34.0,1.0,240.0,206.0
101,4.3,38.0,1.0,240.0,202.0
96,4.4,42.0,1.0,240.0,198.0
95,4.5,42.0,1.0,240.0,198.0
98,4.6,42.0,1.0,240.0,198.0
115,5.1,46.0,1.0,240.0,194.0
97,5.2,52.0,1.0,240.0,188.0
116,5.3,52.0,1.0,240.0,188.0
117,5.4,53.0,1.0,240.0,187.0
100,5.5,53.0,1.0,240.0,187.0
122,5.6,53.0,1.0,240.0,187.0
6,6.1,57.0,1.0,240.0,183.0
32,6.2,57.0,2.0,240.0,183.0
31,6.3,58.0,2.0,240.0,182.0
30,6.4,60.0,2.0,240.0,180.0
29,6.5,61.0,2.0,240.0,179.0
1,6.6,62.0,2.0,240.0,178.0
3,7.1,62.0,3.0,240.0,178.0
0,7.2,63.0,3.0,240.0,177.0
66,7.3,63.0,3.0,240.0,177.0
33,7.4,64.0,3.0,240.0,176.0
34,7.5,70.0,3.0,240.0,170.0
74,7.6,70.0,3.0,240.0,170.0
53,8.1,71.0,3.0,240.0,169.0
55,8.2,75.0,3.0,240.0,165.0
54,8.3,76.0,3.0,240.0,164.0
57,8.4,76.0,3.0,240.0,164.0
56,8.5,82.0,3.0,240.0,158.0
58,8.6,83.0,3.0,240.0,157.0
63,9.1,85.0,3.0,240.0,155.0
64,9.2,86.0,3.0,240.0,154.0
65,9.3,87.0,3.0,240.0,153.0
60,9.4,87.0,3.0,240.0,153.0
61,9.5,87.0,3.0,240.0,153.0
62,9.6,88.0,3.0,240.0,152.0
80,0.1,0.0,0.0,129.0,129.0
82,0.2,0.0,0.0,129.0,129.0
81,0.3,0.0,0.0,129.0,129.0
84,0.4,1.0,0.0,129.0,128.0
83,0.5,1.0,0.0,129.0,128.0
86,0.6,1.0,0.0,129.0,128.0
85,0.7,7.0,0.0,129.0,122.0
77,1.1,8.0,0.0,129.0,121.0
78,1.2,8.0,0.0,129.0,121.0
79,1.3,8.0,0.0,129.0,121.0
74,1.4,9.0,0.0,129.0,120.0
75,1.5,13.0,0.0,129.0,116.0
76,1.6,17.0,0.0,129.0,112.0
8,10.1,57.0,4.0,129.0,72.0
10,10.2,57.0,4.0,129.0,72.0
9,10.3,57.0,5.0,129.0,72.0
12,10.4,58.0,5.0,129.0,71.0
11,10.5,58.0,5.0,129.0,71.0
13,10.6,59.0,5.0,129.0,70.0
104,11.1,65.0,5.0,129.0,64.0
105,11.2,69.0,5.0,129.0,60.0
106,11.3,70.0,5.0,129.0,59.0
101,11.4,70.0,5.0,129.0,59.0
102,11.5,71.0,5.0,129.0,58.0
103,11.6,71.0,5.0,129.0,58.0
2,12.1,71.0,6.0,129.0,58.0
26,12.2,75.0,6.0,129.0,54.0
22,12.3,76.0,6.0,129.0,53.0
7,12.4,78.0,6.0,129.0,51.0
46,12.5,78.0,6.0,129.0,51.0
5,12.6,79.0,6.0,129.0,50.0
4,12.7,80.0,6.0,129.0,49.0
92,13.1,84.0,6.0,129.0,45.0
90,13.2,85.0,6.0,129.0,44.0
91,13.3,86.0,6.0,129.0,43.0
